Enough Said,2013-09-20,https://en.wikipedia.org/wiki/Enough_Said_(film),Comedy,Nicole Holofcener,NULL,James Gandolfini,Julia Louis-Dreyfus,Toni Collette,Catherine Keener,Ben Falcone,8000000.00,25300000.00
Entourage,2015-05-27,https://en.wikipedia.org/wiki/Entourage_(film),Comedy,Doug Ellin,NULL,Adrian Grenier,Kevin Connolly,Kevin Dillon,Jerry Ferrara,Jeremy Piven,39000000.00,49300000.00
Epic,2013-05-24,https://en.wikipedia.org/wiki/Epic_(2013_film),Adventure,Chris Wedge,NULL,Colin Farrell,Josh Hutcherson,Amanda Seyfried,Jason Sudeikis,Christoph Waltz,93000000.00,268400000.00
Escape from Planet Earth,2013-02-15,https://en.wikipedia.org/wiki/Escape_from_Planet_Earth,Comedy,Cal Brunker,NULL,Brendan Fraser,Rob Corddry,Jessica Alba,William Shatner,Sarah Jessica Parker,40000000.00,74600000.00
Evil Dead,2013-04-05,https://en.wikipedia.org/wiki/Evil_Dead_(2013_film),Horror,Fede Alvarez,NULL,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore,17000000.00,97500000.00
Ex Machina,2015-01-21,https://en.wikipedia.org/wiki/Ex_Machina_(film),Sci-Fi,Alex Garland,NULL,Domhnall Gleeson,Oscar Isaac,Alicia Vikander,NULL,NULL,15000000.00,36900000.00
Eye in the Sky,2015-09-11,https://en.wikipedia.org/wiki/Eye_in_the_Sky_(2015_film),Thriller,Gavin Hood,NULL,Helen Mirren,Aaron Paul,Alan Rickman,Barkhad Abdi,NULL,13000000.00,32800000.00
Fantastic Four,2015-08-04,https://en.wikipedia.org/wiki/Fantastic_Four_(2015_film),Action,Josh Trank,NULL,Miles Teller,Michael B. Jordan,Kate Mara,Jamie Bell,Toby Kebbell,120000000.00,168000000.00
Fast & Furious 6,2013-05-17,https://en.wikipedia.org/wiki/Fast_%2526_Furious_6,Action,Justin Lin,NULL,Vin Diesel,Dwayne Johnson,Paul Walker,Michelle Rodriguez,Jordana Brewster,160000000.00,788700000.00
Flight,2012-11-02,https://en.wikipedia.org/wiki/Flight_(2012_film),Drama,Robert Zemeckis,NULL,Denzel Washington,Brian Geraghty,Nadine Velazquez,Bruce Greenwood,John Goodman,31000000.00,161800000.00
Florence Foster Jenkins,2016-04-27,https://en.wikipedia.org/wiki/Florence_Foster_Jenkins_(film),Biography,Stephen Frears,NULL,Meryl Streep,Hugh Grant,Simon Helberg,Nina Arianda,Rebecca Ferguson,19000000.00,31700000.00
Frances Ha,2013-05-17,https://en.wikipedia.org/wiki/Frances_Ha,Drama,Noah Baumbach,NULL,Greta Gerwig,Charlotte d'Amboise,Adam Driver,Grace Gummer,Patrick Heusinger,3000000.00,11300000.00
Free State of Jones,2016-06-16,https://en.wikipedia.org/wiki/Free_State_of_Jones_(film),Drama,Gary Ross,NULL,Matthew McConaughey,Gugu Mbatha-Raw,Keri Russell,Mahershala Ali,NULL,50000000.00,21200000.00
Friends with Kids,2012-03-09,https://en.wikipedia.org/wiki/Friends_with_Kids,Comedy,Jennifer Westfeldt,NULL,Adam Scott,Jennifer Westfeldt,Jon Hamm,Kristen Wiig,Maya Rudolph,10000000.00,12200000.00
Fun Size,2012-10-26,https://en.wikipedia.org/wiki/Fun_Size,Comedy,Josh Schwartz,NULL,Victoria Justice,Jane Levy,Thomas McDonell,Thomas Mann,Chelsea Handler,14000000.00,11400000.00
Fury,2014-10-15,https://en.wikipedia.org/wiki/Fury_(2014_film),Action,David Ayer,NULL,Brad Pitt,Shia LaBeouf,Logan Lerman,Michael Peña,Jon Bernthal,68000000.00,211800000.00
G.I. Joe: Retaliation,2013-03-27,https://en.wikipedia.org/wiki/G.I._Joe:_Retaliation,Action,Jon Chu,NULL,Channing Tatum,Ray Park,Dwayne Johnson,Bruce Willis,Elodie Yung,130000000.00,375700000.00
Gangster Squad,2013-01-11,https://en.wikipedia.org/wiki/Gangster_Squad,Action,Ruben Fleischer,NULL,Ryan Gosling,Emma Stone,Sean Penn,Josh Brolin,Robert Patrick,75000000.00,105200000.00
